iter	Passed	Remaining
0	381	5722756
1	446	3348117
2	508	2542537
3	574	2154290
4	638	1914703
5	703	1757411
6	770	1649820
7	835	1566517
8	906	1510187
9	981	1471391
10	1055	1438132
11	1126	1406902
12	1166	1345344
13	1239	1326550
14	1305	1304100
15	1370	1283434
16	1437	1266576
17	1504	1252650
18	1571	1239374
19	1638	1227537
20	1703	1214949
21	1766	1202483
22	1801	1172919
23	1864	1163555
24	1929	1155986
25	1946	1120993
26	2014	1116897
27	2082	1113389
28	2150	1109952
29	2218	1107023
30	2288	1105199
31	2357	1102498
32	2424	1099817
33	2493	1097651
34	2560	1094720
35	2627	1092328
36	2695	1090121
37	2763	1088265
38	2831	1086236
39	2870	1073564
40	2943	1073853
41	3009	1071969
42	3075	1069854
43	3140	1067526
44	3204	1065103
45	3269	1062864
46	3332	1060167
47	3398	1058590
48	3463	1056923
49	3529	1055372
50	3593	1053442
51	3612	1038555
52	3683	1038742
53	3700	1024286
54	3769	1024251
55	3833	1023007
56	3898	1021996
57	3965	1021556
58	4029	1020535
59	4066	1012447
60	4132	1011973
61	4197	1011348
62	4262	1010736
63	4329	1010354
64	4393	1009423
65	4457	1008567
66	4522	1007964
67	4560	1001420
68	4627	1001311
69	4694	1001174
70	4730	994612
71	4749	984774
72	4757	972910
73	4827	973659
74	4895	974278
75	4960	974002
76	4993	967823
77	5058	967731
78	5125	968141
79	5198	969517
80	5267	970202
81	5333	970316
82	5404	971280
83	5475	972211
84	5512	967319
85	5532	959481
86	5574	955592
87	5642	956080
88	5711	956824
89	5778	957376
90	5852	958872
91	5923	959940
92	5991	960389
93	6054	960129
94	6061	950954
95	6128	951421
96	6198	952298
97	6243	949410
98	6327	952343
99	6403	954103
100	6474	955135
101	6547	956366
102	6613	956505
103	6682	957119
104	6750	957613
105	6822	958644
106	6840	952155
107	6914	953434
108	6970	952285
109	7067	956630
110	7169	961677
111	7251	963876
112	7324	964929
113	7405	967063
114	7478	968011
115	7486	960565
116	7558	961524
117	7632	962555
118	7705	963626
119	7756	961819
120	7782	957024
121	7830	954926
122	7937	960023
123	8029	963281
124	8099	963864
125	8121	958728
126	8207	961226
127	8294	963709
128	8389	967150
129	8486	970702
130	8581	974080
131	8701	980136
132	8795	983230
133	8881	985309
134	8961	986815
135	9063	990538
136	9146	992300
137	9261	997458
138	9366	1001424
139	9469	1005091
140	9609	1012676
141	9702	1015247
142	9801	1018323
143	9882	1019577
144	9962	1020634
145	10030	1020458
146	10109	1021453
147	10186	1022221
148	10259	1022599
149	10333	1023030
150	10412	1023894
151	10500	1025739
152	10583	1026999
153	10680	1029614
154	10774	1031953
155	10863	1033726
156	10944	1034750
157	11018	1035022
158	11098	1035923
159	11139	1033167
160	11211	1033363
161	11253	1030709
162	11325	1030865
163	11397	1031038
164	11467	1031019
165	11542	1031459
166	11616	1031780
167	11691	1032165
168	11767	1032708
169	11844	1033252
170	11923	1033988
171	12001	1034679
172	12017	1029991
173	12095	1030626
174	12166	1030679
175	12235	1030568
176	12303	1030354
177	12371	1030212
178	12442	1030196
179	12478	1027356
180	12549	1027432
181	12617	1027282
182	12686	1027167
183	12761	1027616
184	12843	1028484
185	12921	1029106
186	12995	1029447
187	13072	1029910
188	13148	1030368
189	13171	1026666
190	13238	1026427
191	13307	1026336
192	13327	1022462
193	13399	1022625
194	13468	1022537
195	13532	1022127
196	13598	1021797
197	13665	1021612
198	13735	1021613
199	13804	1021562
200	13872	1021403
201	13941	1021326
202	14012	1021381
203	14080	1021255
204	14151	1021292
205	14185	1018752
206	14256	1018850
207	14294	1016561
208	14365	1016682
209	14434	1016609
210	14446	1012581
211	14514	1012433
212	14535	1009068
213	14604	1009084
214	14673	1009078
215	14742	1009045
216	14811	1009014
217	14882	1009164
218	14952	1009157
219	15018	1008996
220	15089	1009082
221	15157	1008971
222	15227	1009052
223	15295	1008947
224	15365	1009006
225	15437	1009150
226	15505	1009096
227	15573	1009001
228	15642	1008944
229	15713	1009071
230	15782	1009060
231	15851	1009056
232	15923	1009193
233	15993	1009222
234	16064	1009297
235	16130	1009104
236	16199	1009088
237	16269	1009141
238	16339	1009167
239	16408	1009115
240	16477	1009073
241	16549	1009221
242	16619	1009269
243	16684	1009016
244	16755	1009088
245	16825	1009103
246	16895	1009163
247	16967	1009314
248	17037	1009344
249	17106	1009293
250	17177	1009351
251	17243	1009145
252	17314	1009262
253	17382	1009162
254	17454	1009260
255	17524	1009292
256	17595	1009364
257	17668	1009571
258	17737	1009528
259	17808	1009596
260	17874	1009390
261	17945	1009455
262	18012	1009321
263	18082	1009329
264	18152	1009330
265	18224	1009486
266	18291	1009319
267	18360	1009281
268	18400	1007635
269	18470	1007648
270	18537	1007506
271	18606	1007484
