iter	MAE
0	4.365686989
1	4.351649129
2	4.337239961
3	4.322795332
4	4.308429005
5	4.294254451
6	4.280135293
7	4.266032835
8	4.252197942
9	4.238127957
10	4.224597258
11	4.2107567
12	4.197075567
13	4.183202585
14	4.169829533
15	4.156022216
16	4.142362043
17	4.128820841
18	4.115188025
19	4.101488657
20	4.088144486
21	4.074752356
22	4.06091821
23	4.047729307
24	4.033960109
25	4.020541263
26	4.006838033
27	3.993137716
28	3.9797178
29	3.966646924
30	3.953061911
31	3.939430742
32	3.926314665
33	3.913324556
34	3.899811898
35	3.886093727
36	3.872321229
37	3.859489026
38	3.845859184
39	3.832359104
40	3.819180354
41	3.805772171
42	3.792259089
43	3.778362689
44	3.764982176
45	3.752273858
46	3.738687369
47	3.725100691
48	3.711722018
49	3.69830301
50	3.684512256
51	3.670897036
52	3.657754792
53	3.644273686
54	3.631587804
55	3.618111061
56	3.604706275
57	3.591192771
58	3.577932258
59	3.564580779
60	3.551171976
61	3.537925343
62	3.524278359
63	3.51114953
64	3.497921933
65	3.484481087
66	3.471160922
67	3.457997277
68	3.444902601
69	3.432011104
70	3.418704085
71	3.405567861
72	3.392517294
73	3.379579342
74	3.366549008
75	3.353656082
76	3.340905883
77	3.328112476
78	3.314783267
79	3.301301532
80	3.287768452
81	3.274311136
82	3.261391142
83	3.248016676
84	3.234973104
85	3.221706145
86	3.208838245
87	3.195893045
88	3.183191957
89	3.17031646
90	3.158014301
91	3.144629517
92	3.131306192
93	3.118535246
94	3.106120603
95	3.093079097
96	3.080429248
97	3.067944092
98	3.055242629
99	3.042647792
100	3.030300141
101	3.017072297
102	3.004308649
103	2.99109866
104	2.978928431
105	2.966232464
106	2.953312208
107	2.940855479
108	2.928251785
109	2.915681012
110	2.903330049
111	2.890134477
112	2.877564763
113	2.864182424
114	2.851284138
115	2.83900342
116	2.826546363
117	2.813762048
118	2.801252684
119	2.789186956
120	2.777004368
121	2.764490241
122	2.753114278
123	2.741202987
124	2.729200639
125	2.716644627
126	2.704522913
127	2.692276419
128	2.680439001
129	2.668151239
130	2.655995386
131	2.64331582
132	2.631007069
133	2.618622359
134	2.607453069
135	2.595593737
136	2.584026213
137	2.571999376
138	2.55939881
139	2.546953237
140	2.535140214
141	2.524125534
142	2.512664999
143	2.500722308
144	2.488440767
145	2.476984822
146	2.465006196
147	2.453418484
148	2.442032926
149	2.430515279
150	2.419673754
151	2.407535929
152	2.396388693
153	2.38477522
154	2.372786781
155	2.36176742
156	2.349969804
157	2.338994385
158	2.327030876
159	2.316012297
160	2.305623716
161	2.29387514
162	2.282198058
163	2.270434356
164	2.259291066
165	2.247575966
166	2.237209496
167	2.226152998
168	2.215383134
169	2.204969682
170	2.19366597
171	2.18275707
172	2.172611534
173	2.162339786
174	2.151725266
175	2.140724846
176	2.130293253
177	2.119471942
178	2.109838609
179	2.099329214
180	2.08876594
181	2.078173635
182	2.068752559
183	2.058957754
184	2.048642311
185	2.03870049
186	2.028240474
187	2.018073432
188	2.007921568
189	1.998170862
190	1.989015398
191	1.978926365
192	1.969318453
193	1.95988382
194	1.950161418
195	1.940520169
196	1.931520442
197	1.921745205
198	1.912131922
199	1.902882283
200	1.89306715
201	1.883862992
202	1.874240938
203	1.864451173
204	1.854918155
205	1.845847213
206	1.836331121
207	1.827671974
208	1.817931005
209	1.80930271
210	1.801144354
211	1.792403254
212	1.784079414
213	1.774910458
214	1.765736532
215	1.75730208
216	1.748090934
217	1.739304
218	1.731069296
219	1.722595045
220	1.714390852
221	1.706144065
222	1.698171725
223	1.69007712
224	1.681641439
225	1.673281576
226	1.665113208
227	1.657033413
228	1.648990999
229	1.640438833
230	1.632546328
231	1.624708012
232	1.616697477
233	1.608910778
234	1.601168507
235	1.593013989
236	1.584649585
237	1.576219429
238	1.568481833
239	1.560734334
240	1.553295566
241	1.545359955
242	1.53733034
243	1.529272369
244	1.521702974
245	1.51396958
246	1.506041855
247	1.498244298
248	1.490545905
249	1.48303346
250	1.475753037
251	1.468502438
252	1.461381584
253	1.454396475
254	1.446933445
255	1.439879258
256	1.43237355
257	1.425290212
258	1.418530255
259	1.411547798
260	1.404902729
261	1.397640104
262	1.391468069
263	1.384876964
264	1.378006963
265	1.371430955
266	1.364615937
267	1.358424049
268	1.351939064
269	1.345597856
270	1.33932366
271	1.33306451
272	1.326973361
273	1.320526896
274	1.314086595
275	1.307219839
276	1.301050727
277	1.294291084
278	1.288562253
279	1.282782441
280	1.277447316
281	1.271265305
282	1.265308918
283	1.259887102
284	1.254422822
285	1.248714835
286	1.243630758
287	1.237693147
288	1.231817193
289	1.22717321
290	1.221505545
291	1.216000273
292	1.210569648
293	1.20531906
294	1.199425398
295	1.194063486
296	1.188979101
297	1.183792258
298	1.178608065
299	1.172566346
300	1.167083222
301	1.162189432
302	1.156994661
303	1.152854119
304	1.147992463
305	1.143481087
306	1.138745878
307	1.133668127
308	1.129155736
309	1.124273695
310	1.119209872
311	1.114354292
312	1.110815047
313	1.106191708
314	1.101400972
315	1.097042302
316	1.092526296
317	1.087715408
318	1.083114311
319	1.077826593
320	1.073142601
321	1.068434548
322	1.063732531
323	1.059449094
324	1.0549264
325	1.050833167
326	1.045651133
327	1.041611823
328	1.03714833
329	1.033217358
330	1.028645887
331	1.024431525
332	1.0204717
333	1.015982225
334	1.011969288
335	1.007286989
336	1.003026732
337	0.998675698
338	0.9946858845
339	0.9901961014
340	0.9852048372
341	0.9810040155
342	0.9768915759
343	0.9725197076
344	0.9685846138
345	0.9645270304
346	0.9597500825
347	0.9549695939
348	0.950322228
349	0.9459559049
350	0.9410905257
351	0.936617964
352	0.9321857855
353	0.9283940333
354	0.9239390282
355	0.9194378981
356	0.914409454
357	0.9102681036
358	0.9070548593
359	0.9031519792
360	0.8989644481
361	0.8950125524
362	0.8907353186
363	0.8862420689
364	0.8825895132
365	0.8791306566
366	0.8750618388
367	0.8711438639
368	0.8668615452
369	0.8627243088
370	0.8589025394
371	0.8551369839
372	0.8513016668
373	0.8480154863
374	0.8436405279
375	0.8397788375
376	0.8361124145
377	0.8324981247
378	0.8286356039
379	0.8254950242
380	0.8223748903
381	0.8189303113
382	0.8153943013
383	0.8121789936
384	0.8089710137
385	0.8063159177
386	0.8021822231
387	0.7993613927
388	0.7963932052
389	0.7930678013
390	0.7899432434
391	0.7867752157
392	0.784606129
393	0.781844653
394	0.7783788605
395	0.77535074
396	0.7726559296
397	0.7698349968
398	0.7660618821
399	0.7630899272
400	0.7595640637
401	0.7564541511
402	0.753231793
403	0.7502793746
404	0.7475153597
405	0.744941415
406	0.7423749368
407	0.738967897
408	0.7360109504
409	0.7336243327
410	0.7306901767
411	0.7283256243
412	0.7256344171
413	0.7230379218
414	0.7199749371
415	0.7167821497
416	0.7136382847
417	0.7106343671
418	0.7068611726
419	0.7039771978
420	0.7010155684
421	0.6987733528
422	0.6954511322
423	0.6931275774
424	0.6903779724
425	0.6882598214
426	0.6858350722
427	0.6832568373
428	0.6811024922
429	0.6777555208
430	0.6749186863
431	0.6726008394
432	0.6704940856
433	0.6675877322
434	0.664795002
435	0.6622843085
436	0.6595982779
437	0.6572422078
438	0.6540459669
439	0.6515060447
440	0.648399074
441	0.6464189086
442	0.6439295291
443	0.6411728927
444	0.6386928394
445	0.6369226425
446	0.6349931721
447	0.6324394238
448	0.6299629726
449	0.6273694044
450	0.625349551
451	0.6230424444
452	0.6200143412
453	0.6185228086
454	0.6162558056
455	0.6141056494
456	0.6124390801
457	0.6097706028
458	0.6075970437
